peer_id,sector,sub_sector,employees,building_area_sqm,annual_revenue_cr,region,daily_co2e_kg,energy_intensity,renewable_percentage,has_certification,efficiency_score
P00033,Logistics,Courier,457,13615,2.7,West,10722.0,65.2,26.0,True,67.8
P00034,Logistics,LastMile,294,11543,38.1,West,7966.3,77.8,6.5,True,81.3
P00035,Retail,Apparel,388,6403,94.1,West,3100.8,64.8,21.8,False,90.6
P00036,IT Services,Software,172,4013,21.5,North,1117.4,37.5,24.7,True,73.1
P00037,Retail,Pharmacy,462,9917,34.7,South,7165.3,57.6,37.5,True,61.6
P00038,Manufacturing,Pharma,253,8967,18.6,Central,10881.8,61.8,14.9,False,67.4
P00039,Logistics,LastMile,373,3866,75.3,West,9149.0,67.8,33.1,True,74.4
P00040,IT Services,Consulting,104,495,95.9,North,1069.9,79.0,19.3,False,78.0
P00041,FoodProcessing,Grain,400,7292,55.8,East,11047.3,98.3,39.8,True,73.8
P00042,IT Services,FinTech,239,8110,12.6,Central,2541.4,41.6,3.4,False,64.1
P00043,Retail,Apparel,287,2781,15.5,South,2547.7,91.1,35.2,True,82.3
P00044,Manufacturing,Pharma,296,3241,71.1,West,3863.7,51.2,13.2,False,85.8
P00045,FoodProcessing,Grain,224,3809,6.6,South,7438.8,97.5,15.0,True,64.3
P00046,Manufacturing,Metal,138,2205,2.2,Central,5094.1,39.8,22.2,False,74.4
P00047,Retail,Apparel,18,13554,46.0,North,406.5,38.0,11.2,False,70.1
P00048,Logistics,AirCargo,377,13419,17.8,West,4847.3,52.3,14.4,True,87.0
P00049,IT Services,Cybersecurity,205,13316,41.7,North,894.1,40.0,37.6,False,84.8
P00050,FoodProcessing,Dairy,14,2971,87.8,South,220.2,85.5,19.2,False,80.2
P00051,IT Services,SaaS,67,13628,97.0,South,632.4,62.0,10.9,True,69.3
P00052,Logistics,AirCargo,201,9960,99.7,North,7725.6,90.2,9.9,False,60.2
P00053,Logistics,Trucking,177,816,21.5,East,3073.5,52.5,0.9,False,70.0
P00054,Logistics,Courier,383,4463,81.8,East,9186.2,62.3,31.4,False,73.6
P00055,IT Services,Consulting,230,7049,61.2,West,1883.5,82.2,21.9,False,74.1
P00056,Warehousing,AutomotiveParts,55,10420,95.0,South,616.1,98.7,19.7,True,82.5
P00057,IT Services,Consulting,375,6354,13.8,East,2981.1,57.5,35.9,False,62.6
P00058,FoodProcessing,Bakery,126,11414,5.0,Central,2114.8,40.8,4.8,False,70.0
P00059,Retail,DepartmentStore,437,13489,33.7,South,5103.3,79.7,20.5,True,73.3
P00060,FoodProcessing,Dairy,296,13668,9.4,South,7583.3,95.1,9.4,False,68.8
P00061,Logistics,Shipping,158,4721,15.6,Central,4614.0,83.7,1.2,False,63.1
P00062,Logistics,Rail,19,13603,27.7,East,355.9,48.7,13.1,True,71.2
P00063,Manufacturing,Pharma,29,9895,36.2,West,789.4,82.9,22.3,False,83.1
P00064,Warehousing,Distribution,429,10952,36.9,South,9654.3,99.1,24.2,True,72.6
P00065,Logistics,LastMile,354,7086,9.7,West,6568.2,98.4,19.6,False,64.7
P00066,Logistics,Trucking,339,11054,57.6,South,7470.5,56.0,17.0,False,59.2
P00067,Manufacturing,Chemical,94,13041,29.6,North,1861.1,69.6,2.1,True,79.9
P00068,Retail,Pharmacy,176,7141,32.9,South,2321.1,84.4,23.8,False,78.3
P00069,IT Services,Cybersecurity,73,14753,74.9,North,996.0,48.3,15.2,False,64.1
P00070,Logistics,AirCargo,332,12142,79.7,Central,5121.7,87.9,26.6,False,71.5
P00071,Warehousing,Logistics,46,2236,68.6,Central,1646.0,75.6,21.6,False,54.7
P00072,Manufacturing,Textile,229,11346,39.0,North,8427.1,42.6,37.6,False,63.8
P00073,Retail,Furniture,293,10327,74.4,Central,5778.8,44.3,8.2,False,68.8
P00074,FoodProcessing,Beverages,357,13529,82.3,South,9415.1,44.7,9.2,False,67.1
P00075,Retail,Electronics,247,10247,54.7,East,2256.2,94.0,23.3,False,69.6
P00076,Retail,DepartmentStore,400,10557,59.0,East,6414.9,91.7,37.3,False,52.3
P00077,Warehousing,CrossDock,332,226,16.1,Central,9319.7,82.9,37.4,False,62.6
P00078,Manufacturing,Metal,409,3517,84.1,Central,12247.4,60.9,2.2,True,75.1
P00079,Warehousing,Logistics,158,13324,12.3,Central,5003.7,65.3,19.2,False,60.9
P00080,IT Services,Consulting,255,13590,25.6,West,1159.6,55.2,31.2,True,80.3
P00081,Retail,Furniture,473,11412,18.6,South,6878.9,67.6,23.8,True,75.2
P00082,IT Services,Consulting,322,2179,47.4,East,2234.7,73.2,11.8,False,88.1
P00083,Retail,Grocery,117,10453,50.2,West,1343.7,39.9,30.1,True,73.9
P00084,IT Services,Cybersecurity,384,12356,3.5,South,4244.8,36.8,8.9,True,62.5
P00085,IT Services,FinTech,332,7321,34.6,Central,3833.4,81.9,32.2,False,63.6
P00086,Logistics,Rail,169,12569,21.3,West,3021.8,40.6,8.3,True,64.0
P00087,FoodProcessing,Beverages,289,4277,89.4,West,5159.3,59.7,23.6,True,79.2
P00088,FoodProcessing,Grain,230,13464,30.2,North,8095.5,62.6,0.9,True,62.6
P00089,Retail,Pharmacy,363,7468,14.8,North,2974.4,36.2,36.6,True,80.2
P00090,Warehousing,Logistics,21,5896,65.5,South,262.0,43.9,36.0,False,76.2
P00091,Retail,Furniture,313,8746,57.8,Central,4682.6,62.4,14.2,False,78.1
P00092,Manufacturing,Electronics,296,5590,25.3,Central,4686.0,81.7,11.9,False,77.4
P00093,Retail,DepartmentStore,316,5508,27.7,Central,3688.8,90.0,38.2,True,80.0
P00094,Manufacturing,Automotive,77,2443,73.1,South,3094.6,51.0,32.8,False,55.0
P00095,Warehousing,Distribution,16,2422,32.1,South,377.9,40.6,38.3,False,70.1
P00096,FoodProcessing,Dairy,378,7219,85.1,Central,7422.0,99.2,37.8,True,62.2
P00097,Retail,Apparel,473,3257,91.6,South,9442.0,96.4,19.0,False,65.6
P00098,IT Services,Cloud,494,714,4.7,East,2227.6,40.0,27.9,True,83.0
P00099,Warehousing,Ecommerce,8,5568,66.5,North,158.5,92.0,16.7,False,77.5
P00100,Retail,DepartmentStore,251,10096,53.4,East,3022.6,75.8,34.9,False,80.9
P00101,Retail,DepartmentStore,363,4535,74.0,North,4151.4,53.7,11.9,True,71.7
P00102,Manufacturing,Textile,498,14386,43.3,Central,16078.1,96.7,31.5,True,53.4
P00103,Logistics,Courier,66,1968,98.9,East,1333.1,89.5,9.2,False,71.0
P00104,Logistics,Shipping,230,924,22.8,East,5244.4,38.8,38.8,False,62.7
P00105,IT Services,DataCenter,245,9888,26.8,South,1589.8,93.3,18.5,False,95.0
P00106,FoodProcessing,Dairy,72,2033,86.2,North,654.6,66.0,1.8,False,82.5
P00107,Retail,Apparel,265,9710,9.6,North,1787.2,82.0,19.8,True,76.8
P00108,Warehousing,CrossDock,457,5168,85.3,West,2411.7,88.6,13.9,False,88.1
P00109,IT Services,SaaS,293,9577,52.6,Central,1896.7,45.4,13.4,True,75.6
P00110,FoodProcessing,Bakery,195,3838,75.5,West,4040.8,83.3,6.4,False,72.0
P00111,Logistics,LastMile,16,394,20.1,Central,342.0,42.5,15.1,True,68.9
P00112,FoodProcessing,Beverages,418,11818,54.6,East,10572.3,95.6,4.1,False,72.1
P00113,Warehousing,ColdStorage,223,14627,71.1,West,4182.1,75.4,1.8,False,65.5
P00114,FoodProcessing,Meat,255,5446,59.8,West,6152.4,59.2,32.8,True,73.9
P00115,Retail,Grocery,289,8807,43.2,South,3297.6,80.1,8.8,True,78.3
P00116,Logistics,AirCargo,31,3878,95.1,East,815.5,62.3,25.5,False,65.9
P00117,Manufacturing,Pharma,261,12957,89.5,East,4318.7,77.4,14.7,False,72.0
P00118,IT Services,DataCenter,149,3776,77.9,North,1772.0,75.7,5.2,True,68.0
P00119,Warehousing,ColdStorage,408,7825,46.7,East,5434.7,49.7,6.4,False,83.7
P00120,FoodProcessing,Grain,348,683,31.7,South,5779.6,60.5,19.2,False,71.9
P00121,IT Services,SaaS,293,2143,78.2,North,1999.8,50.7,39.5,True,67.3
P00122,Logistics,Courier,152,2820,56.4,West,2377.4,37.2,3.1,False,76.8
P00123,Retail,DepartmentStore,178,10461,80.3,South,1666.3,76.4,28.3,True,71.5
P00124,Logistics,Trucking,374,9007,87.2,North,9099.4,88.0,3.2,False,66.5
P00125,Warehousing,AutomotiveParts,26,8701,48.6,South,780.5,77.3,19.2,False,55.1
P00126,IT Services,FinTech,177,2027,87.3,West,1090.9,36.4,26.1,True,73.8
P00127,Manufacturing,Electronics,416,14125,40.9,East,8589.3,89.6,7.0,False,66.0
P00128,Retail,Pharmacy,297,12903,73.8,West,4296.5,68.4,23.5,True,77.7
P00129,Retail,Furniture,339,9733,79.5,South,3434.8,65.3,33.4,True,69.8
P00130,Retail,Furniture,432,625,97.2,South,6507.3,51.1,34.8,False,66.1
P00131,Manufacturing,Chemical,235,13225,65.6,South,6246.9,35.6,23.5,False,68.4
P00132,Warehousing,CrossDock,14,12070,44.8,East,262.9,44.5,18.0,False,64.7
P00133,Warehousing,Logistics,68,7129,17.6,North,1508.9,87.4,23.4,False,82.8
P00134,Warehousing,Distribution,408,4053,98.7,Central,5485.5,76.6,9.0,True,70.2
P00135,IT Services,SaaS,183,1329,69.1,North,1610.6,36.1,12.9,False,61.3
P00136,IT Services,Cloud,298,12215,13.4,West,2172.8,47.2,29.2,True,70.1
P00137,Logistics,LastMile,197,14746,97.9,South,3574.4,89.0,34.6,False,70.6
P00138,IT Services,Software,293,3172,22.4,West,2092.8,41.9,26.3,False,86.3
P00139,Logistics,Trucking,173,5308,87.2,North,4721.0,92.1,16.2,True,74.6
P00140,Logistics,Rail,86,14832,80.0,South,1931.9,70.4,0.2,True,59.0
P00141,Warehousing,ColdStorage,407,2975,55.3,Central,9960.7,36.0,23.5,True,73.3
P00142,Logistics,Shipping,434,12140,38.6,South,9568.1,36.7,13.6,False,75.2
P00143,Retail,Pharmacy,232,11122,40.0,West,5157.5,68.9,32.9,False,59.4
P00144,FoodProcessing,Meat,296,9006,38.6,North,5661.6,45.8,24.7,False,63.7
P00145,Logistics,Rail,243,13567,54.4,Central,7425.8,52.7,16.5,True,55.3
P00146,IT Services,FinTech,78,13450,53.0,West,620.5,51.7,38.5,False,76.1
P00147,Logistics,Trucking,380,10000,63.7,West,10265.6,92.5,9.1,True,71.8
P00148,Retail,Grocery,129,10923,77.2,North,947.7,82.6,34.0,False,84.0
P00149,Manufacturing,Automotive,168,3140,43.0,East,5103.9,65.7,21.4,True,70.4
P00150,FoodProcessing,Beverages,459,7427,64.2,West,9584.0,44.2,11.0,False,57.7
P00151,Retail,Electronics,378,6880,72.0,South,5225.7,40.2,3.4,False,73.9
P00152,IT Services,Software,383,5289,36.1,North,2574.5,87.0,9.3,False,65.9
P00153,Logistics,Shipping,304,2528,46.2,East,5423.6,64.0,13.3,False,74.6
P00154,Retail,Furniture,337,10626,75.7,Central,4131.5,88.4,0.0,True,66.5
P00155,Warehousing,Distribution,283,4543,97.4,Central,5067.0,41.0,10.3,False,79.6
P00156,Manufacturing,Pharma,42,9815,71.2,West,711.1,95.9,22.2,True,69.2
P00157,Warehousing,AutomotiveParts,200,4506,17.0,South,4539.7,60.4,20.0,False,74.3
P00158,Logistics,Shipping,295,11521,87.9,Central,8128.7,54.8,3.2,False,69.6
P00159,Retail,Electronics,423,7473,97.6,South,5869.5,91.0,36.9,False,64.2
P00160,Logistics,Courier,440,11238,95.3,Central,8437.8,66.1,20.2,True,71.2
P00161,FoodProcessing,Meat,292,12515,43.8,West,6862.5,41.9,25.6,True,59.6
P00162,Logistics,Shipping,155,6710,39.3,West,1881.7,66.5,30.2,False,81.4
P00163,Manufacturing,Plastics,397,13510,8.4,East,7377.2,80.0,24.7,False,79.6
P00164,Manufacturing,Pharma,312,3392,62.8,West,2458.5,92.6,18.0,True,93.8
P00165,IT Services,DataCenter,90,3816,2.1,Central,493.3,51.9,30.4,True,61.4
P00166,FoodProcessing,Dairy,217,10301,24.9,Central,3973.2,70.6,18.2,False,73.0
P00167,FoodProcessing,Bakery,38,13975,25.1,West,1240.3,90.9,15.7,False,64.5
P00168,Manufacturing,Textile,124,492,94.3,North,3198.0,85.8,33.0,False,66.7
P00169,IT Services,Cybersecurity,83,8180,7.6,North,599.3,68.3,27.2,True,79.2
P00170,Manufacturing,Plastics,389,7888,80.4,East,4167.1,99.5,38.8,False,89.2
P00171,IT Services,DataCenter,495,10781,10.7,East,4961.4,36.4,3.3,False,64.7
P00172,Manufacturing,Textile,467,11285,2.0,South,7608.4,97.4,19.1,False,72.1
P00173,Retail,Pharmacy,144,6078,98.0,West,3158.9,87.8,26.3,True,68.1
P00174,Manufacturing,Automotive,157,4683,43.8,North,8425.2,50.6,4.9,True,49.1
P00175,Logistics,Trucking,487,14557,81.8,Central,11837.4,64.9,33.7,False,72.7
P00176,Warehousing,Distribution,349,10873,54.4,East,6708.7,41.0,38.6,False,75.6
P00177,Warehousing,CrossDock,425,1824,74.6,East,5279.5,41.1,23.1,False,77.7
P00178,FoodProcessing,Bakery,148,6372,74.4,South,2642.2,92.2,26.3,True,75.7
P00179,FoodProcessing,Snacks,415,11429,36.2,East,7489.9,84.5,1.4,False,75.2
P00180,Logistics,Trucking,441,7644,68.2,South,11040.2,67.6,5.0,False,67.6
P00181,Warehousing,Fulfillment,28,1113,59.7,South,403.9,35.2,24.8,False,71.8
P00182,Manufacturing,Pharma,277,11482,87.6,West,8563.4,49.7,28.1,True,57.0
P00183,Retail,DepartmentStore,407,14594,3.3,South,5724.0,80.2,29.8,False,54.7
P00184,FoodProcessing,Meat,436,13127,13.1,East,7537.9,39.1,32.1,False,80.5
P00185,Manufacturing,Chemical,165,10740,64.1,Central,3430.8,99.4,29.9,False,79.9
P00186,Retail,Pharmacy,65,8429,34.1,North,798.5,54.4,37.6,True,77.8
P00187,Logistics,Shipping,73,13760,46.7,East,651.8,80.9,25.2,True,86.4
P00188,Retail,Electronics,284,3484,1.7,North,4642.5,65.7,0.5,True,67.1
P00189,Retail,DepartmentStore,395,262,28.3,West,4890.0,52.4,6.3,False,68.3
P00190,IT Services,DataCenter,254,974,14.8,South,1153.7,93.5,0.9,False,87.8
P00191,Warehousing,Ecommerce,430,12029,42.5,Central,13534.6,51.7,26.2,True,58.8
P00192,Manufacturing,Electronics,349,13240,61.2,East,6165.5,49.6,10.0,False,74.5
P00193,Manufacturing,Textile,65,7621,41.0,Central,2547.0,74.8,9.0,False,60.3
P00194,Retail,Pharmacy,6,14457,85.1,Central,70.6,77.3,21.8,True,83.4
P00195,Logistics,AirCargo,142,710,6.1,East,2251.8,45.7,13.2,False,77.7
P00196,Logistics,LastMile,96,881,24.6,West,2651.7,36.8,2.6,False,67.5
P00197,Warehousing,Logistics,231,4969,37.8,South,1568.3,63.7,7.8,True,81.3
P00198,Warehousing,Fulfillment,168,8776,63.8,North,3727.5,69.6,6.3,False,79.8
P00199,Warehousing,ColdStorage,369,358,89.8,East,7867.8,37.2,14.5,False,63.4
P00200,IT Services,SaaS,482,11305,96.8,West,4404.2,66.5,4.9,False,82.2
P00201,Retail,Furniture,106,1629,43.3,West,2177.8,92.9,3.2,False,74.0
P00202,FoodProcessing,Meat,269,9687,91.9,Central,8943.3,93.6,26.1,True,65.7
P00203,Retail,DepartmentStore,80,12863,53.0,East,746.3,81.7,16.8,False,71.9
P00204,IT Services,FinTech,318,1198,65.5,South,2139.3,65.6,39.2,False,87.6
P00205,Warehousing,CrossDock,70,4678,68.9,South,1513.9,53.2,25.7,False,75.6
P00206,Manufacturing,Plastics,231,9628,31.1,Central,8924.6,84.8,31.5,False,67.0
P00207,Retail,Electronics,138,7518,1.0,North,1622.3,49.7,15.3,True,67.2
P00208,IT Services,Cybersecurity,88,10196,5.2,East,744.5,90.8,11.7,False,68.5
P00209,Retail,Electronics,288,5175,98.2,North,5431.3,69.6,25.4,False,72.8
P00210,Logistics,LastMile,168,10804,24.9,Central,3239.5,73.9,11.9,True,68.6
P00211,Logistics,Trucking,72,1087,85.4,West,2421.7,47.0,3.2,True,71.4
P00212,Manufacturing,Metal,39,878,99.5,West,820.2,89.0,24.0,True,75.3
P00213,FoodProcessing,Dairy,397,13735,87.0,Central,6204.0,45.7,6.8,False,77.9
P00214,Logistics,AirCargo,161,12566,24.5,North,2500.9,66.7,26.1,False,77.4
P00215,Retail,Electronics,261,9402,41.3,North,4667.8,50.5,18.8,False,66.9
P00216,FoodProcessing,Dairy,428,8433,61.5,East,8054.7,35.4,0.3,True,73.4
P00217,IT Services,DataCenter,357,4797,46.8,West,1920.9,37.9,11.1,False,79.3
P00218,Manufacturing,Textile,348,10104,35.2,North,12317.3,80.6,39.7,True,62.0
P00219,Logistics,LastMile,172,11983,73.3,North,3513.0,78.8,11.9,False,71.3
P00220,Warehousing,ColdStorage,12,13246,1.2,Central,209.1,91.7,10.3,False,66.6
P00221,Manufacturing,Plastics,86,14920,13.0,West,2468.3,40.2,14.2,False,56.1
P00222,FoodProcessing,Dairy,454,1942,59.8,South,14028.5,82.1,4.8,False,72.2
P00223,Logistics,Rail,85,4108,42.8,South,1893.7,37.8,4.9,False,61.6
P00224,Manufacturing,Plastics,298,1919,39.4,North,5768.4,70.3,34.5,False,77.6
P00225,Warehousing,ColdStorage,199,13567,58.3,East,4469.7,35.8,14.8,True,73.9
P00226,Warehousing,Logistics,444,7935,43.6,South,4820.2,77.0,25.5,True,75.1
P00227,IT Services,Cybersecurity,309,11220,68.0,East,1369.5,99.2,18.2,False,88.6
P00228,FoodProcessing,Bakery,418,9691,97.8,Central,5496.5,48.6,37.0,False,78.8
P00229,IT Services,Cloud,129,1010,49.3,East,1083.1,59.4,19.0,False,69.4
P00230,Retail,Furniture,373,9088,29.6,North,4732.8,57.1,21.7,True,73.0
P00231,Manufacturing,Pharma,369,5016,83.5,South,4859.7,47.7,2.3,True,80.8
P00232,Warehousing,CrossDock,143,458,54.9,West,3990.1,44.8,32.7,True,61.9
P00233,FoodProcessing,Dairy,256,8117,62.7,East,7514.8,60.7,1.6,False,60.9
P00234,Warehousing,AutomotiveParts,68,3262,91.0,East,1772.4,43.5,31.6,True,76.9
P00235,Manufacturing,Chemical,50,13405,94.5,North,1747.8,66.4,34.5,False,65.1
P00236,Retail,Furniture,421,8225,76.4,East,6219.6,72.5,34.6,False,56.1
P00237,Retail,Furniture,179,6242,59.5,East,3165.3,38.9,0.1,False,77.8
P00238,Manufacturing,Electronics,447,7080,51.5,East,10364.9,66.0,27.5,False,66.1
P00239,Logistics,Shipping,324,12513,64.8,South,7051.7,69.4,31.7,False,79.0
P00240,Retail,Grocery,492,11690,1.2,North,7207.2,39.5,0.2,False,69.1
P00241,Warehousing,Logistics,168,12934,61.7,North,2491.9,61.5,16.3,True,65.8
P00242,IT Services,Consulting,465,12048,70.1,West,3526.8,89.7,9.7,False,71.0
P00243,Retail,Grocery,17,14619,30.2,South,227.2,95.4,16.2,False,71.1
P00244,FoodProcessing,Grain,405,5889,97.9,North,6209.2,43.0,35.5,False,88.4
P00245,Logistics,Shipping,488,5675,55.9,South,11615.1,50.3,12.1,True,77.9
P00246,Logistics,AirCargo,63,5690,72.3,Central,1225.3,88.5,28.9,True,76.8
P00247,Manufacturing,Plastics,483,9556,51.6,North,14943.2,35.2,9.9,False,73.2
P00248,FoodProcessing,Meat,125,2724,13.9,East,3966.0,94.0,37.7,False,62.9
P00249,Logistics,AirCargo,425,10740,69.0,East,3939.8,80.8,0.2,True,87.6
P00250,FoodProcessing,Beverages,105,9220,28.6,Central,3496.3,52.5,19.0,False,63.1
P00251,FoodProcessing,Bakery,105,5721,95.7,North,716.8,48.6,14.7,False,91.3
P00252,Warehousing,Ecommerce,17,2357,55.7,North,440.9,91.5,29.2,False,54.7
P00253,Warehousing,CrossDock,241,8453,40.1,Central,4891.4,72.6,3.4,True,67.3
P00254,FoodProcessing,Dairy,122,10393,52.1,North,2459.8,59.6,13.5,True,61.9
P00255,Warehousing,AutomotiveParts,167,8188,73.9,South,3345.7,82.1,35.1,True,63.7
P00256,Retail,DepartmentStore,344,4314,77.6,North,6378.4,43.2,0.7,False,76.8
P00257,Logistics,Trucking,425,11754,2.7,South,11768.2,57.6,14.9,True,58.9
P00258,IT Services,SaaS,465,3818,88.0,West,5664.6,74.4,11.6,True,75.8
P00259,IT Services,DataCenter,417,8780,93.8,East,2333.6,78.7,23.3,False,86.7
P00260,FoodProcessing,Meat,335,12163,8.5,South,4502.0,44.2,24.9,False,76.4
P00261,FoodProcessing,Beverages,465,3864,53.2,East,18129.5,56.9,29.0,False,64.2
P00262,Manufacturing,Metal,286,10068,93.1,South,3534.0,62.0,12.1,False,81.7
P00263,FoodProcessing,Bakery,50,10792,62.5,Central,787.7,71.5,34.6,False,80.8
P00264,FoodProcessing,Beverages,165,7988,98.1,West,3721.7,97.4,7.9,False,68.5
P00265,IT Services,Cloud,336,5358,46.4,North,2688.1,60.7,38.1,False,82.8
P00266,FoodProcessing,Bakery,499,14017,64.4,West,9468.3,85.2,20.0,True,79.5
P00267,Retail,Furniture,480,3683,55.6,Central,5948.8,87.5,10.2,True,76.0
P00268,FoodProcessing,Beverages,145,1296,12.7,West,3530.5,99.6,1.8,False,67.9
P00269,Manufacturing,Electronics,408,728,4.2,West,9676.5,75.4,39.7,False,67.3
P00270,FoodProcessing,Beverages,328,3108,24.8,South,6576.9,37.5,1.4,True,65.1
P00271,Retail,Pharmacy,225,13991,58.6,North,4753.6,84.3,11.3,False,47.4
P00272,Retail,Pharmacy,466,2279,82.5,Central,5518.1,51.6,11.8,False,74.1
P00273,Logistics,AirCargo,479,14301,94.1,North,4363.1,89.3,13.3,False,90.5
P00274,Retail,Furniture,294,8220,46.9,East,4054.5,69.6,23.6,True,74.6
P00275,Logistics,LastMile,142,11019,23.4,North,1906.9,35.1,29.2,False,72.7
P00276,Logistics,Rail,243,3340,85.0,West,2720.9,81.3,32.7,True,79.6
P00277,Logistics,Rail,43,11891,75.7,West,1416.0,40.1,21.8,False,50.5
P00278,IT Services,Cloud,469,3822,63.2,North,2977.0,76.1,5.2,False,81.9
P00279,Manufacturing,Textile,55,12167,97.3,North,869.4,41.4,32.1,True,78.1
P00280,Retail,Pharmacy,85,3589,80.9,North,922.9,98.6,34.3,False,68.7
P00281,Warehousing,Ecommerce,187,4387,50.1,Central,3186.2,82.7,15.4,True,76.3
P00282,Warehousing,Distribution,293,1393,84.5,South,6056.9,80.9,21.4,False,64.5
P00283,FoodProcessing,Dairy,287,11699,86.4,Central,7979.9,60.8,5.3,False,63.7
P00284,Warehousing,Ecommerce,432,11514,32.3,West,6425.9,55.3,37.4,False,76.7
P00285,IT Services,Consulting,468,7391,19.5,South,3385.3,61.8,37.4,False,69.2
P00286,Warehousing,AutomotiveParts,122,987,78.6,Central,2348.3,56.6,2.3,False,65.5
P00287,Warehousing,Logistics,88,3865,73.6,Central,2197.2,74.1,39.6,True,66.2
P00288,Retail,Apparel,396,6461,45.6,North,6284.5,47.3,23.3,True,67.3
P00289,Manufacturing,Chemical,391,13165,52.2,East,13367.3,79.8,5.8,False,71.3
P00290,IT Services,SaaS,479,2700,10.1,West,6659.4,52.4,0.6,False,64.2
P00291,IT Services,Cloud,485,7619,61.4,North,3324.0,91.3,37.9,True,73.8
P00292,Retail,Pharmacy,154,3094,88.4,East,2652.2,79.2,16.3,True,60.4
P00293,Warehousing,Ecommerce,141,7431,94.0,North,3563.5,83.1,8.6,False,60.1
P00294,Retail,Grocery,58,13077,10.2,East,841.6,51.8,17.4,False,68.6
P00295,Retail,Electronics,277,4238,64.1,West,3518.2,48.0,35.1,False,59.1
P00296,Manufacturing,Textile,303,5139,91.2,Central,5323.5,73.8,23.8,False,67.9
P00297,Retail,Grocery,168,7710,29.0,East,2090.1,51.5,39.5,True,80.2
P00298,Logistics,Shipping,77,10848,58.9,North,890.2,93.2,26.7,False,84.3
P00299,FoodProcessing,Bakery,62,4558,64.2,Central,1518.4,44.4,31.4,False,76.4
P00300,Logistics,Rail,189,13616,30.8,South,3422.0,95.3,4.2,False,75.2
P00301,Logistics,Courier,125,7652,92.5,South,3257.0,96.3,29.9,False,64.7
P00302,Warehousing,Distribution,456,12456,1.8,East,9167.1,51.6,29.7,True,74.7
P00303,Manufacturing,Pharma,40,13009,36.1,Central,1615.8,41.7,15.7,False,64.7
P00304,IT Services,FinTech,122,10600,68.0,North,1316.8,63.5,24.4,True,69.5
P00305,FoodProcessing,Grain,499,1747,12.6,West,15031.1,45.5,3.3,True,67.3
P00306,IT Services,Cloud,466,4829,36.1,East,4012.2,74.5,9.8,True,70.1
P00307,Logistics,Rail,156,7851,98.6,West,5768.8,79.1,16.5,False,56.2
